Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11691,Snow,Orhan Pamuk,"Pamuk, Orhan",Maureen Freely,"=""""","=""""",0,3.61,Vintage Books,Paperback,463,2005,2002,,2022/08/26,to-read,to-read (#5),to-read,,,,0,0
58890783,Either/Or,Elif Batuman,"Batuman, Elif",,"=""0525557598""","=""9780525557593""",5,4.06,Penguin Press,Hardcover,368,2022,2022,2022/08/26,2022/06/23,,,read,,,,1,0
30962053,The Idiot,Elif Batuman,"Batuman, Elif",,"=""1594205612""","=""9781594205613""",5,3.68,Penguin Press,Hardcover,423,2017,2017,,2022/08/14,,,read,,,,1,0
7815,The Year of Magical Thinking,Joan Didion,"Didion, Joan",,"=""1400078431""","=""9781400078431""",0,3.93,Vintage,Paperback,227,2007,2005,,2022/08/02,to-read,to-read (#4),to-read,,,,0,0
5941033,Let the Great World Spin,Colum McCann,"McCann, Colum",,"=""1400063736""","=""9781400063734""",4,3.95,Random House,Hardcover,351,2009,2009,2022/07/30,2022/07/09,,,read,,,,1,0
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,"=""1419729071""","=""9781419729072""",5,4.36,Abrams Press,Hardcover,318,2019,2019,2022/07/28,2022/06/22,,,read,,,,1,0
6900,Tuesdays with Morrie,Mitch Albom,"Albom, Mitch",,"=""""","=""""",4,4.16,Warner,Paperback,210,2000,1997,2022/06/27,2022/06/25,,,read,,,,1,0
18521,A Room of One’s Own,Virginia Woolf,"Woolf, Virginia",,"=""""","=""""",0,4.21,Penguin Books,Paperback,112,2000,1929,,2022/06/26,to-read,to-read (#3),to-read,,,,0,0
40727626,Free Food for Millionaires,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",4,3.84,Grand Central Publishing,Kindle Edition,577,2007,2007,2022/06/26,2022/06/22,,,read,,,,1,0
57640287,Passing,Nella Larsen,"Larsen, Nella",Brit Bennett,"=""0593437845""","=""9780593437841""",5,3.93,Signet,Paperback,141,2021,1929,2022/04/03,2022/03/30,,,read,,,,1,0
341879,Just Kids,Patti Smith,"Smith, Patti",,"=""006621131X""","=""9780066211312""",5,4.20,Ecco,Hardcover,304,2010,2010,2022/06/13,2022/03/30,,,read,,,,1,0
